age,avg_trip_duration
85.0,774.0
81.0,730.0
118.0,689.0
75.0,660.6029411764706
16.0,651.7428571428571
120.0,597.7906976744187
89.0,561.2
70.0,551.9635854341736
71.0,547.8658146964856
17.0,546.2445652173913
