date,from_station_name,trip_count,rank
2019-12-19,Canal St & Adams St,133,1
2019-12-19,Clinton St & Madison St,123,2
2019-12-19,Clinton St & Washington Blvd,95,3
2019-12-26,Streeter Dr & Grand Ave,165,1
2019-12-26,Lake Shore Dr & Monroe St,104,2
2019-12-26,Columbus Dr & Randolph St,88,3
